GENE_ID,GENE,number_case,number_control,case_control_ratio
ENSG00000163046,ANKRD30BL,10,11,-0.1
ENSG00000141458,NPC1,0,4,-4
ENSG00000137843,PAK6,4,0,4
ENSG00000148082,SHC3,6,5,0.17
ENSG00000163060,TEKT4,8,8,0.0
ENSG00000132664,POLR3F,0,4,-4
ENSG00000139620,KANSL2,10,6,0.4
ENSG00000163207,IVL,13,13,0.0
ENSG00000139637,MYG1,13,10,0.23
ENSG00000137877,SPTBN5,5,5,0.0
ENSG00000141979,name not found,4,6,-0.5
ENSG00000163359,COL6A3,13,9,0.31
ENSG00000148358,GPR107,13,12,0.08
ENSG00000163386,name not found,17,17,0.0
ENSG00000142347,MYO1F,5,5,0.0
ENSG00000163395,IGFN1,17,18,-0.06
ENSG00000128513,POT1,9,6,0.33
ENSG00000142449,FBN3,5,7,-0.4
ENSG00000133142,TCEAL4,0,5,-5
ENSG00000125826,RBCK1,6,0,6
ENSG00000163462,TRIM46,7,5,0.29
ENSG00000135549,PKIB,10,11,-0.1
ENSG00000138162,TACC2,5,6,-0.2
ENSG00000128563,PRKRIP1,5,0,5
ENSG00000149091,DGKZ,7,7,0.0
ENSG00000163606,CD200R1,11,15,-0.36
ENSG00000131634,TMEM204,4,5,-0.25
ENSG00000138297,name not found,10,9,0.1
ENSG00000149480,MTA2,7,14,-1.0
ENSG00000126088,UROD,4,0,4
ENSG00000163885,CFAP100,10,14,-0.4
ENSG00000149499,EML3,7,14,-1.0
ENSG00000141161,UNC45B,4,0,4
ENSG00000163982,OTOP1,17,18,-0.06
ENSG00000164062,APEH,17,18,-0.06
ENSG00000164068,RNF123,17,18,-0.06
ENSG00000136811,ODF2,0,7,-7
ENSG00000138759,FRAS1,4,6,-0.5
ENSG00000164199,ADGRV1,6,0,6
ENSG00000129351,ILF3,0,4,-4
ENSG00000143156,NME7,7,4,0.43
ENSG00000135372,NAT10,4,6,-0.5
ENSG00000164252,AGGF1,4,6,-0.5
ENSG00000115306,SPTBN1,5,0,5
ENSG00000136848,DAB2IP,0,4,-4
ENSG00000135439,AGAP2,0,4,-4
ENSG00000151276,MAGI1,0,5,-5
ENSG00000164296,TIGD6,13,16,-0.23
ENSG00000151366,NDUFC2,5,0,5
ENSG00000143603,KCNN3,0,5,-5
ENSG00000164363,SLC6A18,12,13,-0.08
ENSG00000151693,ASAP2,0,4,-4
ENSG00000164393,ADGRF2,14,14,0.0
ENSG00000132681,ATP1A4,5,6,-0.2
ENSG00000139131,YARS2,4,0,4
ENSG00000151779,NBAS,4,0,4
ENSG00000137135,ARHGEF39,7,5,0.29
ENSG00000142002,DPP9,6,0,6
ENSG00000164796,CSMD3,5,4,0.2
ENSG00000118961,LDAH,6,0,6
ENSG00000152082,MZT2B,13,14,-0.08
ENSG00000164828,SUN1,15,16,-0.07
ENSG00000144455,SUMF1,7,13,-0.86
ENSG00000142102,PGGHG,9,9,0.0
ENSG00000152086,TUBA3E,13,14,-0.08
ENSG00000165124,SVEP1,12,9,0.25
ENSG00000137177,KIF13A,0,8,-8
ENSG00000142156,COL6A1,14,13,0.07
ENSG00000165269,AQP7,17,18,-0.06
ENSG00000144504,ANKMY1,4,0,4
ENSG00000135447,PPP1R1A,0,5,-5
ENSG00000128739,SNRPN,4,0,4
ENSG00000129003,VPS13C,0,4,-4
ENSG00000152464,RPP38,0,4,-4
ENSG00000129083,COPB1,6,0,6
ENSG00000142186,SCYL1,5,0,5
ENSG00000165643,SOHLH1,17,18,-0.06
ENSG00000135723,FHOD1,6,0,6
ENSG00000129084,PSMA1,6,0,6
ENSG00000130479,MAP1S,0,4,-4
ENSG00000137411,VARS2,0,6,-6
ENSG00000152910,CNTNAP4,10,15,-0.5
ENSG00000140691,ARMC5,0,4,-4
ENSG00000127580,WDR24,5,0,5
ENSG00000133401,PDZD2,0,4,-4
ENSG00000153107,ANAPC1,15,16,-0.07
ENSG00000165752,STK32C,13,8,0.38
ENSG00000129484,PARP2,4,5,-0.25
ENSG00000136856,SLC2A8,0,6,-6
ENSG00000165810,BTNL9,5,6,-0.2
ENSG00000165837,ERICH6B,16,18,-0.12
ENSG00000153317,ASAP1,5,0,5
ENSG00000165959,CLMN,5,5,0.0
ENSG00000145736,GTF2H2,8,16,-1.0
ENSG00000137210,TMEM14B,5,6,-0.2
ENSG00000153404,PLEKHG4B,12,5,0.58
ENSG00000146090,RASGEF1C,0,5,-5
ENSG00000130997,POLN,5,4,0.2
ENSG00000141527,CARD14,9,11,-0.22
ENSG00000166341,DCHS1,4,0,4
ENSG00000138496,PARP9,0,4,-4
ENSG00000141556,TBCD,5,8,-0.6
ENSG00000166377,ATP9B,11,12,-0.09
ENSG00000166473,PKD1L2,17,18,-0.06
ENSG00000131374,TBC1D5,0,4,-4
ENSG00000143554,SLC27A3,10,9,0.1
ENSG00000129437,KLK14,5,0,5
ENSG00000137074,APTX,8,5,0.38
ENSG00000143624,INTS3,11,9,0.18
ENSG00000166813,KIF7,4,0,4
ENSG00000166823,MESP1,7,4,0.43
ENSG00000155984,name not found,0,6,-6
ENSG00000166896,ATP23,0,6,-6
ENSG00000137766,UNC13C,0,4,-4
ENSG00000143977,SNRPG,10,9,0.1
ENSG00000142303,ADAMTS10,5,0,5
ENSG00000166948,TGM6,10,11,-0.1
ENSG00000156508,EEF1A1,7,9,-0.29
ENSG00000166984,TCP10L2,6,7,-0.17
ENSG00000130612,CYP2G1P,0,4,-4
ENSG00000135226,UGT2B28,6,5,0.17
ENSG00000167210,LOXHD1,0,5,-5
ENSG00000146904,EPHA1,0,4,-4
ENSG00000144118,RALB,11,8,0.27
ENSG00000167306,MYO5B,15,16,-0.07
ENSG00000130653,PNPLA7,4,4,0.0
ENSG00000167346,MMP26,12,11,0.08
ENSG00000142611,PRDM16,5,0,5
ENSG00000167355,OR51B5,16,18,-0.12
ENSG00000132677,RHBG,0,4,-4
ENSG00000148357,HMCN2,6,7,-0.17
ENSG00000144596,GRIP2,4,0,4
ENSG00000167468,GPX4,5,5,0.0
ENSG00000144645,OSBPL10,4,6,-0.5
ENSG00000138378,STAT4,4,0,4
ENSG00000143382,ADAMTSL4,0,4,-4
ENSG00000158055,GRHL3,15,9,0.4
ENSG00000167615,LENG8,4,5,-0.25
ENSG00000158062,UBXN11,16,18,-0.12
ENSG00000167670,CHAF1A,9,10,-0.11
ENSG00000140836,ZFHX3,0,9,-9
ENSG00000148773,MKI67,0,6,-6
ENSG00000130816,DNMT1,4,0,4
ENSG00000139219,COL2A1,0,4,-4
ENSG00000136068,FLNB,4,4,0.0
ENSG00000144749,LRIG1,4,0,4
ENSG00000167671,UBXN6,7,9,-0.29
ENSG00000167674,HDGFL2,15,15,0.0
ENSG00000158683,PKD1L1,6,7,-0.17
ENSG00000167676,PLIN4,17,18,-0.06
ENSG00000149043,SYT8,0,4,-4
ENSG00000144395,CCDC150,6,4,0.33
ENSG00000167693,NXN,11,9,0.18
ENSG00000158769,F11R,12,12,0.0
ENSG00000167700,MFSD3,7,7,0.0
ENSG00000149115,TNKS1BP1,6,5,0.17
ENSG00000139899,CBLN3,4,0,4
ENSG00000144619,CNTN4,0,4,-4
ENSG00000167701,GPT,4,4,0.0
ENSG00000158863,FAM160B2,15,18,-0.2
ENSG00000133789,SWAP70,6,4,0.33
ENSG00000145451,GLRA3,0,6,-6
ENSG00000158941,CCAR2,12,13,-0.08
ENSG00000167766,ZNF83,5,4,0.2
ENSG00000140400,MAN2C1,11,11,0.0
ENSG00000159140,SON,15,15,0.0
ENSG00000167768,KRT1,14,11,0.21
ENSG00000140443,IGF1R,4,5,-0.25
ENSG00000167780,SOAT2,5,4,0.2
ENSG00000149527,PLCH2,0,6,-6
ENSG00000140575,IQGAP1,0,5,-5
ENSG00000146083,RNF44,11,12,-0.09
ENSG00000159322,ADPGK,4,0,4
ENSG00000138892,TTLL8,0,4,-4
ENSG00000145703,IQGAP2,4,0,4
ENSG00000167920,TMEM99,13,8,0.38
ENSG00000141579,ZNF750,0,5,-5
ENSG00000146540,C7orf50,8,4,0.5
ENSG00000167962,ZNF598,13,14,-0.08
ENSG00000141956,PRDM15,0,4,-4
ENSG00000159788,RGS12,9,9,0.0
ENSG00000167978,SRRM2,5,7,-0.4
ENSG00000141002,TCF25,7,6,0.14
ENSG00000146216,TTBK1,4,0,4
ENSG00000151914,DST,4,7,-0.75
ENSG00000139641,ESYT1,4,0,4
ENSG00000168067,MAP4K2,8,5,0.38
ENSG00000139687,RB1,6,8,-0.33
ENSG00000152192,POU4F1,0,4,-4
ENSG00000147813,NAPRT,8,11,-0.38
ENSG00000168300,PCMTD1,17,18,-0.06
ENSG00000141503,MINK1,4,4,0.0
ENSG00000139865,TTC6,4,4,0.0
ENSG00000147059,SPIN2A,7,9,-0.29
ENSG00000160285,LSS,12,13,-0.08
ENSG00000131408,NR1H2,4,0,4
ENSG00000168614,name not found,17,18,-0.06
ENSG00000123636,BAZ2B,7,0,7
ENSG00000152969,JAKMIP1,9,8,0.11
ENSG00000141564,RPTOR,0,5,-5
ENSG00000148384,INPP5E,8,7,0.12
ENSG00000168658,VWA3B,4,10,-1.5
ENSG00000131153,GINS2,4,0,4
ENSG00000168765,GSTM4,17,18,-0.06
ENSG00000148513,ANKRD30A,11,9,0.18
ENSG00000160602,NEK8,4,0,4
ENSG00000168787,name not found,8,11,-0.38
ENSG00000169062,UPF3A,16,16,0.0
ENSG00000169313,P2RY12,4,0,4
ENSG00000135253,KCP,5,4,0.2
ENSG00000153902,LGI4,9,14,-0.56
ENSG00000160796,NBEAL2,5,4,0.2
ENSG00000169548,ZNF280A,17,18,-0.06
ENSG00000143164,DCAF6,0,10,-10
ENSG00000160844,name not found,12,10,0.17
ENSG00000153976,HS3ST3A1,4,0,4
ENSG00000138002,IFT172,4,4,0.0
ENSG00000169876,MUC17,8,8,0.0
ENSG00000148356,LRSAM1,4,0,4
ENSG00000160951,PTGER1,6,5,0.17
ENSG00000169894,MUC3A,17,18,-0.06
ENSG00000140873,ADAMTS18,0,4,-4
ENSG00000142609,CFAP74,11,14,-0.27
ENSG00000149782,PLCB3,5,0,5
ENSG00000132535,DLG4,5,0,5
ENSG00000161036,LRWD1,7,0,7
ENSG00000169972,PUSL1,4,0,4
ENSG00000170085,SIMC1,0,7,-7
ENSG00000155087,ODF1,9,13,-0.44
ENSG00000151651,ADAM8,10,7,0.3
ENSG00000148484,RSU1,7,6,0.14
ENSG00000161544,CYGB,14,10,0.29
ENSG00000170100,ZNF778,14,11,0.21
ENSG00000161618,ALDH16A1,13,17,-0.31
ENSG00000170421,KRT8,6,9,-0.5
ENSG00000143520,FLG2,0,4,-4
ENSG00000155269,GPR78,7,8,-0.14
ENSG00000138336,TET1,0,6,-6
ENSG00000170445,HARS1,12,9,0.25
ENSG00000130475,FCHO1,0,7,-7
ENSG00000161896,IP6K3,11,12,-0.09
ENSG00000143631,FLG,6,10,-0.67
ENSG00000170465,KRT6C,13,11,0.15
ENSG00000142599,RERE,0,4,-4
ENSG00000161944,ASGR2,10,10,0.0
ENSG00000170477,KRT4,13,16,-0.23
ENSG00000161996,WDR90,8,0,8
ENSG00000170523,KRT83,13,12,0.08
ENSG00000144036,EXOC6B,0,4,-4
ENSG00000162006,MSLNL,4,4,0.0
ENSG00000144045,DQX1,0,4,-4
ENSG00000156011,PSD3,12,17,-0.42
ENSG00000153165,RGPD3,4,6,-0.5
ENSG00000144152,FBLN7,0,5,-5
ENSG00000138709,LARP1B,8,7,0.12
ENSG00000153201,RANBP2,0,4,-4
ENSG00000170776,AKAP13,5,4,0.2
ENSG00000144199,FAHD2B,7,11,-0.57
ENSG00000134278,SPIRE1,0,4,-4
ENSG00000156232,WHAMM,4,0,4
ENSG00000143515,ATP8B2,5,8,-0.6
ENSG00000162341,TPCN2,5,6,-0.2
ENSG00000144285,SCN1A,0,5,-5
ENSG00000151846,PABPC3,0,4,-4
ENSG00000170835,CEL,13,11,0.15
ENSG00000162415,ZSWIM5,4,0,4
ENSG00000170889,RPS9,17,17,0.0
ENSG00000153956,CACNA2D1,4,0,4
ENSG00000143595,AQP10,5,6,-0.2
ENSG00000139182,CLSTN3,0,4,-4
ENSG00000162571,TTLL10,5,0,5
ENSG00000170927,PKHD1,11,6,0.45
ENSG00000144724,PTPRG,6,0,6
ENSG00000154237,LRRK1,9,9,0.0
ENSG00000156876,SASS6,14,18,-0.29
ENSG00000142408,CACNG8,4,0,4
ENSG00000143921,ABCG8,4,4,0.0
ENSG00000143537,ADAM15,0,4,-4
ENSG00000154309,DISP1,8,8,0.0
ENSG00000133392,MYH11,0,5,-5
ENSG00000171234,UGT2B7,14,16,-0.14
ENSG00000156885,COX6A2,6,8,-0.33
ENSG00000162645,GBP2,7,12,-0.71
ENSG00000171368,TPPP,14,13,0.07
ENSG00000156886,ITGAD,8,9,-0.12
ENSG00000144230,GPR17,6,5,0.17
ENSG00000171467,ZNF318,6,7,-0.17
ENSG00000154511,DIPK1A,8,11,-0.38
ENSG00000162733,DDR2,13,12,0.08
ENSG00000171495,MROH2B,10,6,0.4
ENSG00000144554,FANCD2,10,12,-0.2
ENSG00000153002,CPB1,9,7,0.22
ENSG00000157168,NRG1,0,4,-4
ENSG00000157557,ETS2,0,4,-4
ENSG00000171574,ZNF584,10,10,0.0
ENSG00000143970,ASXL2,0,4,-4
ENSG00000163239,TDRD10,6,10,-0.67
ENSG00000133710,SPINK5,5,0,5
ENSG00000171680,PLEKHG5,4,0,4
ENSG00000157766,ACAN,6,6,0.0
ENSG00000155465,SLC7A7,7,0,7
ENSG00000134146,DPH6,0,6,-6
ENSG00000134982,APC,5,0,5
ENSG00000171847,FAM90A1,5,0,5
ENSG00000145041,DCAF1,0,4,-4
ENSG00000163554,SPTA1,4,5,-0.25
ENSG00000171853,TRAPPC12,9,6,0.33
ENSG00000163645,ERICH6,8,6,0.25
ENSG00000171872,KLF17,15,16,-0.07
ENSG00000154229,PRKCA,11,7,0.36
ENSG00000171984,SHLD1,6,6,0.0
ENSG00000146285,SCML4,0,4,-4
ENSG00000145362,ANK2,4,4,0.0
ENSG00000135298,ADGRB3,4,0,4
ENSG00000172009,THOP1,5,0,5
ENSG00000146426,TIAM2,4,9,-1.25
ENSG00000143632,ACTA1,0,11,-11
ENSG00000172081,MOB3A,7,7,0.0
ENSG00000136011,STAB2,5,5,0.0
ENSG00000172199,OR8U1,17,17,0.0
ENSG00000172201,ID4,5,6,-0.2
ENSG00000136267,DGKB,8,7,0.12
ENSG00000172236,TPSAB1,15,14,0.07
ENSG00000159239,name not found,0,4,-4
ENSG00000164535,DAGLB,0,4,-4
ENSG00000131037,EPS8L1,0,5,-5
ENSG00000145919,BOD1,6,5,0.17
ENSG00000145494,NDUFS6,9,9,0.0
ENSG00000164880,INTS1,16,18,-0.12
ENSG00000135047,CTSL,4,0,4
ENSG00000172362,OR5B12,6,5,0.17
ENSG00000146828,SLC12A9,0,5,-5
ENSG00000159337,PLA2G4D,5,0,5
ENSG00000172638,EFEMP2,16,17,-0.06
ENSG00000165140,FBP1,7,5,0.29
ENSG00000172732,MUS81,16,17,-0.06
ENSG00000145743,FBXL17,5,7,-0.4
ENSG00000172757,CFL1,16,17,-0.06
ENSG00000165487,MICU2,8,5,0.38
ENSG00000134690,CDCA8,0,4,-4
ENSG00000135740,SLC9A5,5,0,5
ENSG00000172782,FADS6,17,18,-0.06
ENSG00000157335,CLEC18C,10,7,0.3
ENSG00000156113,KCNMA1,4,0,4
ENSG00000165632,TAF3,13,18,-0.38
ENSG00000172867,KRT2,6,7,-0.17
ENSG00000156299,TIAM1,0,6,-6
ENSG00000135749,PCNX2,0,5,-5
ENSG00000172969,FRG2C,14,14,0.0
ENSG00000147649,MTDH,0,4,-4
ENSG00000160209,PDXK,9,0,9
ENSG00000146205,ANO7,4,6,-0.5
ENSG00000173113,TRMT112,13,13,0.0
ENSG00000173153,ESRRA,13,13,0.0
ENSG00000173157,ADAMTS20,4,0,4
ENSG00000173193,PARP14,4,5,-0.25
ENSG00000160336,ZNF761,0,4,-4
ENSG00000156983,BRPF1,0,4,-4
ENSG00000173230,GOLGB1,17,17,0.0
ENSG00000160633,SAFB,4,8,-1.0
ENSG00000141837,CACNA1A,9,9,0.0
ENSG00000173531,MST1,17,18,-0.06
ENSG00000173638,SLC19A1,14,15,-0.07
ENSG00000166682,TMPRSS5,14,14,0.0
ENSG00000173699,SPATA3,11,13,-0.18
ENSG00000141985,SH3GL1,5,0,5
ENSG00000173715,C11orf80,15,16,-0.07
ENSG00000148824,MTG1,5,0,5
ENSG00000136270,TBRG4,4,0,4
ENSG00000173821,RNF213,5,5,0.0
ENSG00000136250,AOAH,5,0,5
ENSG00000148843,PDCD11,0,7,-7
ENSG00000166963,MAP1A,7,6,0.14
ENSG00000173950,XXYLT1,11,6,0.45
ENSG00000147536,GINS4,0,4,-4
ENSG00000174236,REP15,15,14,0.07
ENSG00000162040,HS3ST6,12,13,-0.08
ENSG00000174282,ZBTB4,16,18,-0.12
ENSG00000150457,LATS2,6,7,-0.17
ENSG00000136720,HS6ST1,4,0,4
ENSG00000174358,SLC6A19,12,12,0.0
ENSG00000146839,ZAN,4,7,-0.75
ENSG00000159123,name not found,12,7,0.42
ENSG00000167393,PPP2R3B,15,14,0.07
ENSG00000174442,ZWILCH,4,4,0.0
ENSG00000159131,GART,10,6,0.4
ENSG00000136206,SPDYE1,0,5,-5
ENSG00000159147,DONSON,13,15,-0.15
ENSG00000167646,DNAAF3,7,4,0.43
ENSG00000174450,GOLGA6L2,16,18,-0.12
ENSG00000159212,CLIC6,4,5,-0.25
ENSG00000137076,TLN1,4,0,4
ENSG00000174501,ANKRD36C,16,18,-0.12
ENSG00000162654,GBP4,6,6,0.0
ENSG00000159733,ZFYVE28,13,8,0.38
ENSG00000174775,HRAS,13,9,0.31
ENSG00000174885,NLRP6,16,18,-0.12
ENSG00000140416,TPM1,4,0,4
ENSG00000150527,MIA2,7,7,0.0
ENSG00000163050,COQ8A,13,15,-0.15
ENSG00000160202,CRYAA,7,11,-0.57
ENSG00000174914,OR9G1,17,18,-0.06
ENSG00000143365,RORC,9,10,-0.11
ENSG00000159917,ZNF235,7,0,7
ENSG00000137474,MYO7A,6,4,0.33
ENSG00000167747,C19orf48,11,9,0.18
ENSG00000150893,FREM2,4,8,-1.0
ENSG00000152520,PAN3,4,5,-0.25
ENSG00000175029,CTBP2,4,0,4
ENSG00000151006,PRSS53,0,4,-4
ENSG00000163354,DCST2,0,8,-8
ENSG00000160145,KALRN,7,0,7
ENSG00000168028,RPSA,12,13,-0.08
ENSG00000149262,INTS4,5,8,-0.6
ENSG00000160460,SPTBN4,5,0,5
ENSG00000175164,ABO,17,18,-0.06
ENSG00000160695,VPS11,5,9,-0.8
ENSG00000168291,PDHB,11,10,0.09
ENSG00000175166,PSMD2,6,4,0.33
ENSG00000140986,RPL3L,5,0,5
ENSG00000160828,name not found,4,7,-0.75
ENSG00000168297,PXK,11,10,0.09
ENSG00000137727,ARHGAP20,4,0,4
ENSG00000175265,GOLGA8A,16,16,0.0
ENSG00000163535,SGO2,12,13,-0.08
ENSG00000153208,MERTK,10,13,-0.3
ENSG00000175718,RBMXL3,15,12,0.2
ENSG00000168454,TXNDC2,13,6,0.54
ENSG00000175894,TSPEAR,17,18,-0.06
ENSG00000148400,NOTCH1,0,4,-4
ENSG00000160948,VPS28,0,5,-5
ENSG00000175946,KLHL38,16,16,0.0
ENSG00000153684,GOLGA8F,6,7,-0.17
ENSG00000160949,TONSL,0,7,-7
ENSG00000168702,LRP1B,0,5,-5
ENSG00000176014,TUBB6,14,18,-0.29
ENSG00000176058,TPRN,4,0,4
ENSG00000141736,ERBB2,0,5,-5
ENSG00000160973,FOXH1,4,0,4
ENSG00000176092,CRYBG2,17,17,0.0
ENSG00000168772,CXXC4,7,8,-0.14
ENSG00000137802,MAPKBP1,5,0,5
ENSG00000176476,SGF29,0,4,-4
ENSG00000163945,UVSSA,10,9,0.1
ENSG00000154025,SLC5A10,0,4,-4
ENSG00000176715,ACSF3,11,9,0.18
ENSG00000161281,COX7A1,10,7,0.3
ENSG00000176728,TTTY14,17,18,-0.06
ENSG00000164037,SLC9B1,6,0,6
ENSG00000161328,LRRC56,4,0,4
ENSG00000176945,MUC20,17,17,0.0
ENSG00000164061,BSN,4,0,4
ENSG00000150753,CCT5,10,6,0.4
ENSG00000161509,GRIN2C,15,15,0.0
ENSG00000177030,DEAF1,10,13,-0.3
ENSG00000169258,GPRIN1,10,13,-0.3
ENSG00000177084,POLE,6,8,-0.33
ENSG00000150938,CRIM1,0,5,-5
ENSG00000161583,name not found,6,7,-0.17
ENSG00000161040,FBXL13,0,5,-5
ENSG00000177103,DSCAML1,4,4,0.0
ENSG00000169676,DRD5,7,15,-1.14
ENSG00000177201,OR2T12,5,11,-1.2
ENSG00000138658,ZGRF1,5,6,-0.2
ENSG00000169683,LRRC45,0,5,-5
ENSG00000177212,OR2T33,17,18,-0.06
ENSG00000151150,ANK3,9,8,0.11
ENSG00000162032,SPSB3,5,7,-0.4
ENSG00000169689,CENPX,0,6,-6
ENSG00000177225,GATD1,15,13,0.13
ENSG00000177338,LINC00469,14,10,0.29
ENSG00000155506,LARP1,0,4,-4
ENSG00000169710,FASN,5,0,5
ENSG00000154175,ABI3BP,4,6,-0.5
ENSG00000177706,FAM20C,17,18,-0.06
ENSG00000150990,DHX37,9,7,0.22
ENSG00000155918,RAET1L,11,10,0.09
ENSG00000162592,CCDC27,4,4,0.0
ENSG00000177710,SLC35G5,12,11,0.08
ENSG00000151876,FBXO4,4,5,-0.25
ENSG00000170390,DCLK2,14,17,-0.21
ENSG00000177839,PCDHB9,13,14,-0.08
ENSG00000164741,DLC1,15,18,-0.2
ENSG00000177879,AP3S1,17,16,0.06
ENSG00000164751,PEX2,8,11,-0.38
ENSG00000156304,SCAF4,0,4,-4
ENSG00000177947,ODF3,16,13,0.19
ENSG00000170515,PA2G4,8,0,8
ENSG00000177951,BET1L,16,13,0.19
ENSG00000178104,PDE4DIP,17,18,-0.06
ENSG00000152580,IGSF10,4,0,4
ENSG00000162804,SNED1,0,4,-4
ENSG00000178372,CALML5,10,11,-0.1
ENSG00000151778,SERP2,7,5,0.29
ENSG00000178586,OR6B3,10,6,0.4
ENSG00000165325,DEUP1,9,0,9
ENSG00000178772,CPN2,10,7,0.3
ENSG00000165409,TSHR,4,0,4
ENSG00000152117,SMPD4BP,0,5,-5
ENSG00000171102,OBP2B,7,11,-0.57
ENSG00000178882,RFLNA,0,7,-7
ENSG00000140279,DUOX2,4,0,4
ENSG00000178928,TPRX1,7,11,-0.57
ENSG00000171129,name not found,0,4,-4
ENSG00000152894,PTPRK,0,4,-4
ENSG00000140323,DISP2,5,0,5
ENSG00000171132,PRKCE,4,0,4
ENSG00000179172,HNRNPCL1,8,8,0.0
ENSG00000171195,MUC7,4,5,-0.25
ENSG00000179344,HLA-DQB1,17,14,0.18
ENSG00000165948,IFI27L1,9,10,-0.11
ENSG00000153707,PTPRD,0,8,-8
ENSG00000163481,RNF25,11,9,0.18
ENSG00000165949,IFI27,9,10,-0.11
ENSG00000179855,GIPC3,15,13,0.13
ENSG00000141744,PNMT,5,0,5
ENSG00000179915,NRXN1,4,0,4
ENSG00000157637,SLC38A10,0,5,-5
ENSG00000147485,PXDNL,5,5,0.0
ENSG00000171444,MCC,10,13,-0.3
ENSG00000179979,name not found,15,15,0.0
ENSG00000157703,SVOPL,10,12,-0.2
ENSG00000180370,PAK2,10,14,-0.4
ENSG00000166667,name not found,8,8,0.0
ENSG00000180422,LINC00304,8,8,0.0
ENSG00000141971,MVB12A,4,0,4
ENSG00000180822,PSMG4,17,16,0.06
ENSG00000157423,HYDIN,10,13,-0.3
ENSG00000180884,ZNF792,12,14,-0.17
ENSG00000136146,MED4,0,4,-4
ENSG00000166819,PLIN1,0,4,-4
ENSG00000163482,STK36,11,9,0.18
ENSG00000180900,SCRIB,6,6,0.0
ENSG00000163531,NFASC,10,10,0.0
ENSG00000180921,FAM83H,6,6,0.0
ENSG00000143850,PLEKHA6,6,7,-0.17
ENSG00000166845,C18orf54,10,9,0.1
ENSG00000181085,MAPK15,7,8,-0.14
ENSG00000158109,TPRG1L,0,4,-4
ENSG00000142621,FHAD1,0,4,-4
ENSG00000148606,POLR3A,4,0,4
ENSG00000163563,MNDA,0,5,-5
ENSG00000141696,P3H4,4,0,4
ENSG00000171798,KNDC1,14,11,0.21
ENSG00000181143,MUC16,17,18,-0.06
ENSG00000158161,EYA3,0,4,-4
ENSG00000171824,EXOSC10,6,7,-0.17
ENSG00000142233,NTN5,5,0,5
ENSG00000181220,ZNF746,11,11,0.0
ENSG00000181222,POLR2A,16,18,-0.12
ENSG00000167165,UGT1A6,4,4,0.0
ENSG00000164256,PRDM9,0,5,-5
ENSG00000181381,DDX60L,7,10,-0.43
ENSG00000164309,CMYA5,4,0,4
ENSG00000163840,DTX3L,0,4,-4
ENSG00000171988,JMJD1C,14,16,-0.14
ENSG00000181761,OR8H3,0,5,-5
ENSG00000159289,GOLGA6A,6,0,6
ENSG00000182264,IZUMO1,9,11,-0.22
ENSG00000143093,STRIP1,0,5,-5
ENSG00000159860,TCAF2P1,4,8,-1.0
ENSG00000160111,CPAMD8,5,10,-1.0
ENSG00000149929,HIRIP3,0,4,-4
ENSG00000143252,SDHC,0,5,-5
ENSG00000167601,AXL,11,13,-0.18
ENSG00000149930,TAOK2,0,4,-4
ENSG00000182578,CSF1R,17,17,0.0
ENSG00000167608,TMC4,0,4,-4
ENSG00000182871,COL18A1,14,17,-0.21
ENSG00000167634,NLRP7,4,0,4
ENSG00000172890,NADSYN1,15,17,-0.13
ENSG00000143126,CELSR2,6,0,6
ENSG00000183020,AP2A2,16,18,-0.12
ENSG00000144821,MYH15,5,5,0.0
ENSG00000160200,CBS,0,5,-5
ENSG00000167637,ZNF283,6,10,-0.67
ENSG00000183103,name not found,4,6,-0.5
ENSG00000142185,TRPM2,4,0,4
ENSG00000160282,FTCD,0,7,-7
ENSG00000173137,ADCK5,10,11,-0.1
ENSG00000143337,TOR1AIP1,4,0,4
ENSG00000183148,ANKRD20A2P,9,6,0.33
ENSG00000183246,RIMBP3C,14,15,-0.07
ENSG00000173175,ADCY5,5,0,5
ENSG00000183248,PRR36,15,13,0.13
ENSG00000164889,SLC4A2,6,0,6
ENSG00000160654,CD3G,0,5,-5
ENSG00000144134,RABL2A,0,4,-4
ENSG00000167880,EVPL,0,10,-10
ENSG00000160741,CRTC2,0,4,-4
ENSG00000183638,RP1L1,15,17,-0.13
ENSG00000173566,name not found,15,18,-0.2
ENSG00000183971,NPW,12,13,-0.08
ENSG00000167930,FAM234A,0,4,-4
ENSG00000157827,FMNL2,5,4,0.2
ENSG00000184185,KCNJ12,17,18,-0.06
ENSG00000160963,COL26A1,7,6,0.14
ENSG00000167972,ABCA3,0,4,-4
ENSG00000158748,HTR6,0,4,-4
ENSG00000161091,MFSD12,7,7,0.0
ENSG00000167995,BEST1,0,4,-4
ENSG00000158481,CD1C,4,0,4
ENSG00000164742,ADCY1,10,6,0.4
ENSG00000184363,PKP3,5,0,5
ENSG00000161270,NPHS1,0,4,-4
ENSG00000144550,CPNE9,4,0,4
ENSG00000173876,TUBB7P,15,16,-0.07
ENSG00000184428,TOP1MT,14,16,-0.14
ENSG00000166183,ASPG,8,7,0.12
ENSG00000184465,WDR27,5,0,5
ENSG00000144668,ITGA9,9,6,0.33
ENSG00000184698,OR51M1,16,18,-0.12
ENSG00000164871,SPAG11B,10,9,0.1
ENSG00000184730,APOBR,11,8,0.27
ENSG00000184825,name not found,12,15,-0.25
ENSG00000184906,name not found,12,12,0.0
ENSG00000168477,TNXB,8,12,-0.5
ENSG00000166436,TRIM66,4,0,4
