GENE_ID,GENE,number_case,number_control,case_fold, control_fold,case_percentage,control_percentage, absolute_overrepresentation
ENSG00000109466,KLHL2,8,9,0.47,-0.53,47.06,50.0,2.94
ENSG00000110328,GALNT18,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000120088,CRHR1,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000132740,IGHMBP2,10,11,0.48,-0.52,58.82,61.11,2.29
ENSG00000103342,GSPT1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000100997,ABHD12,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000132854,KANK4,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000116539,ASH1L,4,7,0.36,-0.64,23.53,38.89,15.36
ENSG00000108389,MTMR4,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000104884,ERCC2,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000115705,TPO,9,12,0.43,-0.57,52.94,66.67,13.73
ENSG00000120328,PCDHB12,8,10,0.44,-0.56,47.06,55.56,8.5
ENSG00000132932,ATP8A2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000106018,VIPR2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000111186,WNT5B,4,8,0.33,-0.67,23.53,44.44,20.92
ENSG00000120438,TCP1,3,9,0.25,-0.75,17.65,50.0,32.35
ENSG00000132958,TPTE2,8,5,0.62,-0.38,47.06,27.78,19.28
ENSG00000104892,KLC3,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000116731,PRDM2,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000113916,BCL6,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000115896,PLCL1,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000120696,KBTBD7,16,16,0.5,-0.5,94.12,88.89,5.23
ENSG00000133149,name not found,16,16,0.5,-0.5,94.12,88.89,5.23
ENSG00000112592,TBP,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000111452,ADGRD1,8,9,0.47,-0.53,47.06,50.0,2.94
ENSG00000104957,CCDC130,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000133193,FAM104A,13,7,0.65,-0.35,76.47,38.89,37.58
ENSG00000117151,CTBS,7,9,0.44,-0.56,41.18,50.0,8.82
ENSG00000110395,CBL,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000104960,PTOV1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000116016,EPAS1,8,8,0.5,-0.5,47.06,44.44,2.61
ENSG00000120800,UTP20,4,7,0.36,-0.64,23.53,38.89,15.36
ENSG00000102572,STK24,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000133246,PRAM1,8,9,0.47,-0.53,47.06,50.0,2.94
ENSG00000103154,NECAB2,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000120913,PDLIM2,10,13,0.43,-0.57,58.82,72.22,13.4
ENSG00000133454,MYO18B,7,7,0.5,-0.5,41.18,38.89,2.29
ENSG00000116176,TPSG1,13,12,0.52,-0.48,76.47,66.67,9.8
ENSG00000121335,PRB2,7,12,0.37,-0.63,41.18,66.67,25.49
ENSG00000117600,PLPPR4,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000114867,EIF4G1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000116218,NPHS2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000105127,AKAP8,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000121716,PILRB,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000105255,FSD1,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000133895,MEN1,7,4,0.64,-0.36,41.18,22.22,18.95
ENSG00000116580,GON4L,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000134160,TRPM1,7,10,0.41,-0.59,41.18,55.56,14.38
ENSG00000111450,STX2,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000107242,PIP5K1B,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000109501,WFS1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000122367,LDB3,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000134184,GSTM1,8,15,0.35,-0.65,47.06,83.33,36.27
ENSG00000113161,HMGCR,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000105270,CLIP3,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000115266,APC2,6,3,0.67,-0.33,35.29,16.67,18.63
ENSG00000104915,STX10,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000134201,GSTM5,9,16,0.36,-0.64,52.94,88.89,35.95
ENSG00000101425,BPI,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000107281,NPDC1,9,10,0.47,-0.53,52.94,55.56,2.61
ENSG00000115464,USP34,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000134250,NOTCH2,17,14,0.55,-0.45,100.0,77.78,22.22
ENSG00000113492,AGXT2,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000112297,CRYBG1,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000112541,PDE10A,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000134283,PPHLN1,10,12,0.45,-0.55,58.82,66.67,7.84
ENSG00000123143,PKN1,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000103042,SLC38A7,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000134463,ECHDC3,13,17,0.43,-0.57,76.47,94.44,17.97
ENSG00000120322,PCDHB8,6,6,0.5,-0.5,35.29,33.33,1.96
ENSG00000105122,RASAL3,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000134516,DOCK2,8,6,0.57,-0.43,47.06,33.33,13.73
ENSG00000107593,PKD2L1,8,4,0.67,-0.33,47.06,22.22,24.84
ENSG00000110046,ATG2A,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000124091,GCNT7,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000107404,DVL1,7,7,0.5,-0.5,41.18,38.89,2.29
ENSG00000117395,EBNA1BP2,9,8,0.53,-0.47,52.94,44.44,8.5
ENSG00000124103,FAM209A,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000105583,WDR83OS,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000110060,PUS3,5,3,0.62,-0.38,29.41,16.67,12.75
ENSG00000135119,RNFT2,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000114841,DNAH1,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000117724,CENPF,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000124334,IL9R,8,8,0.5,-0.5,47.06,44.44,2.61
ENSG00000135213,name not found,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000114859,CLCN2,8,6,0.57,-0.43,47.06,33.33,13.73
ENSG00000135378,PRRG4,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000135587,SMPD2,7,14,0.33,-0.67,41.18,77.78,36.6
ENSG00000108270,name not found,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000118004,COLEC11,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000135596,MICAL1,8,14,0.36,-0.64,47.06,77.78,30.72
ENSG00000105617,LENG1,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000116254,CHD5,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000105438,KDELR1,5,2,0.71,-0.29,29.41,11.11,18.3
ENSG00000135870,RC3H1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000124942,AHNAK,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000105464,GRIN2D,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000135902,CHRND,10,14,0.42,-0.58,58.82,77.78,18.95
ENSG00000105889,STEAP1B,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000115232,ITGA4,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000116809,ZBTB17,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000135976,ANKRD36,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000115286,NDUFS7,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000118894,EEF2KMT,5,7,0.42,-0.58,29.41,38.89,9.48
ENSG00000105750,ZNF85,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000125755,SYMPK,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000136383,ALPK3,14,17,0.45,-0.55,82.35,94.44,12.09
ENSG00000102981,PARD6A,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000115307,AUP1,1,5,0.17,-0.83,5.88,27.78,21.9
ENSG00000122435,TRMT13,14,18,0.44,-0.56,82.35,100.0,17.65
ENSG00000113790,EHHADH,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000114166,KAT2B,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000125844,RRBP1,12,13,0.48,-0.52,70.59,72.22,1.63
ENSG00000136514,RTP4,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000115317,HTRA2,1,5,0.17,-0.83,5.88,27.78,21.9
ENSG00000122483,CCDC18,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000114270,COL7A1,6,9,0.4,-0.6,35.29,50.0,14.71
ENSG00000117385,P3H1,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000115318,LOXL3,1,5,0.17,-0.83,5.88,27.78,21.9
ENSG00000114423,CBLB,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000115423,DNAH6,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000117480,FAAH,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000136695,IL36RN,8,5,0.62,-0.38,47.06,27.78,19.28
ENSG00000115457,IGFBP2,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000119681,LTBP2,8,2,0.8,-0.2,47.06,11.11,35.95
ENSG00000126464,PRR12,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000137171,KLC4,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000126749,EMG1,16,18,0.47,-0.53,94.12,100.0,5.88
ENSG00000137204,SLC22A7,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000114993,RTKN,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000118900,UBN1,2,5,0.29,-0.71,11.76,27.78,16.01
ENSG00000106367,AP1S1,5,3,0.62,-0.38,29.41,16.67,12.75
ENSG00000126822,PLEKHG3,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000105669,COPE,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000115970,THADA,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000123349,PFDN5,13,11,0.54,-0.46,76.47,61.11,15.36
ENSG00000119121,TRPM6,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000119778,ATAD2B,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000106560,GIMAP2,5,3,0.62,-0.38,29.41,16.67,12.75
ENSG00000127022,CANX,6,5,0.55,-0.45,35.29,27.78,7.52
ENSG00000105671,DDX49,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000104427,ZC2HC1A,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000137266,SLC22A23,17,15,0.53,-0.47,100.0,83.33,16.67
ENSG00000123360,PDE1B,2,6,0.25,-0.75,11.76,33.33,21.57
ENSG00000115649,CNPPD1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000104432,IL7,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000137275,RIPK1,14,15,0.48,-0.52,82.35,83.33,0.98
ENSG00000119559,C19orf25,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000107937,GTPBP4,8,2,0.8,-0.2,47.06,11.11,35.95
ENSG00000137492,THAP12,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000137496,IL18BP,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000116147,TNR,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000124172,ATP5F1E,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000115365,LANCL1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000120162,MOB3B,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000137497,NUMA1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000110321,EIF4G2,1,6,0.14,-0.86,5.88,33.33,27.45
ENSG00000116205,TCEANC2,1,6,0.14,-0.86,5.88,33.33,27.45
ENSG00000127586,CHTF18,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000137642,SORL1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000116213,WRAP73,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000124201,ZNFX1,0,4,0.0,-1.0,0.0,22.22,22.22
ENSG00000115607,IL18RAP,2,5,0.29,-0.71,11.76,27.78,16.01
ENSG00000107249,GLIS3,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000137747,TMPRSS13,12,11,0.52,-0.48,70.59,61.11,9.48
ENSG00000124228,DDX27,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000109756,RAPGEF2,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000115840,SLC25A12,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000128438,TBC1D27P,10,9,0.53,-0.47,58.82,50.0,8.82
ENSG00000137804,NUSAP1,8,9,0.47,-0.53,47.06,50.0,2.94
ENSG00000116675,DNAJC6,3,5,0.38,-0.62,17.65,27.78,10.13
ENSG00000129219,PLD2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000107890,ANKRD26,1,5,0.17,-0.83,5.88,27.78,21.9
ENSG00000107147,KCNT1,6,4,0.6,-0.4,35.29,22.22,13.07
ENSG00000137841,PLCB2,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000120539,MASTL,10,8,0.56,-0.44,58.82,44.44,14.38
ENSG00000137857,DUOX1,13,16,0.45,-0.55,76.47,88.89,12.42
ENSG00000121988,ZRANB3,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000129968,ABHD17A,11,12,0.48,-0.52,64.71,66.67,1.96
ENSG00000110777,POU2AF1,8,4,0.67,-0.33,47.06,22.22,24.84
ENSG00000124831,LRRFIP1,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000113643,RARS1,6,5,0.55,-0.45,35.29,27.78,7.52
ENSG00000129991,TNNI3,6,4,0.6,-0.4,35.29,22.22,13.07
ENSG00000138028,CGREF1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000120889,TNFRSF10B,6,5,0.55,-0.45,35.29,27.78,7.52
ENSG00000129993,CBFA2T3,12,14,0.46,-0.54,70.59,77.78,7.19
ENSG00000108306,FBXL20,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000108511,HOXB6,8,1,0.89,-0.11,47.06,5.56,41.5
ENSG00000138030,KHK,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000108515,ENO3,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000138166,DUSP5,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000125503,PPP1R12C,14,13,0.52,-0.48,82.35,72.22,10.13
ENSG00000120952,PRAMEF2,6,8,0.43,-0.57,35.29,44.44,9.15
ENSG00000108518,PFN1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000104413,ESRP1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000111199,TRPV4,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000125505,MBOAT7,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000121068,TBX2,11,7,0.61,-0.39,64.71,38.89,25.82
ENSG00000138592,USP8,14,15,0.48,-0.52,82.35,83.33,0.98
ENSG00000125731,SH2D3A,9,10,0.47,-0.53,52.94,55.56,2.61
ENSG00000116882,HAO2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000116783,TNNI3K,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000122512,PMS2,4,8,0.33,-0.67,23.53,44.44,20.92
ENSG00000130528,HRC,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000111249,CUX2,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000125733,TRIP10,9,9,0.5,-0.5,52.94,50.0,2.94
ENSG00000116584,ARHGEF2,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000130529,TRPM4,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000138688,KIAA1109,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000111229,ARPC3,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000122778,KIAA1549,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000130640,TUBGCP2,16,18,0.47,-0.53,94.12,100.0,5.88
ENSG00000138813,C4orf17,8,6,0.57,-0.43,47.06,33.33,13.73
ENSG00000111605,CPSF6,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000108262,GIT1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000121753,ADGRB2,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000130695,CEP85,16,18,0.47,-0.53,94.12,100.0,5.88
ENSG00000138834,MAPK8IP3,17,17,0.5,-0.5,100.0,94.44,5.56
ENSG00000111640,GAPDH,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000122085,MTERF4,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000123131,PRDX4,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000139174,PRICKLE1,10,13,0.43,-0.57,58.82,72.22,13.4
ENSG00000126216,TUBGCP3,6,5,0.55,-0.45,35.29,27.78,7.52
ENSG00000123146,ADGRE5,8,3,0.73,-0.27,47.06,16.67,30.39
ENSG00000117425,PTCH2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000116962,NID1,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000122359,ANXA11,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000131042,LILRB2,9,3,0.75,-0.25,52.94,16.67,36.27
ENSG00000108821,COL1A1,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000139304,PTPRQ,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000104760,FGL1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000111700,SLCO1B3,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000131069,ACSS2,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000139405,RITA1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000108840,HDAC5,2,7,0.22,-0.78,11.76,38.89,27.12
ENSG00000126337,KRT36,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000131127,ZNF141,7,5,0.58,-0.42,41.18,27.78,13.4
ENSG00000139737,SLAIN1,10,13,0.43,-0.57,58.82,72.22,13.4
ENSG00000126602,TRAP1,2,5,0.29,-0.71,11.76,27.78,16.01
ENSG00000118058,KMT2A,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000118160,SLC8A2,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000109171,SLAIN2,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000139835,GRTP1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000118322,ATP10B,5,8,0.38,-0.62,29.41,44.44,15.03
ENSG00000123066,MED13L,11,6,0.65,-0.35,64.71,33.33,31.37
ENSG00000140459,CYP11A1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000112195,TREML2,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000118492,ADGB,11,10,0.52,-0.48,64.71,55.56,9.15
ENSG00000123191,ATP7B,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000124198,ARFGEF2,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000118689,FOXO3,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000118579,MED28,9,12,0.43,-0.57,52.94,66.67,13.73
ENSG00000123329,ARHGAP9,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000131620,ANO1,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000109103,UNC119,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000131653,TRAF7,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000140905,GCSH,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000124587,PEX6,9,12,0.43,-0.57,52.94,66.67,13.73
ENSG00000141219,C17orf80,12,8,0.6,-0.4,70.59,44.44,26.14
ENSG00000118997,DNAH7,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000124713,GNMT,9,12,0.43,-0.57,52.94,66.67,13.73
ENSG00000132196,HSD17B7,13,12,0.52,-0.48,76.47,66.67,9.8
ENSG00000119321,FKBP15,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000127325,BEST3,0,4,0.0,-1.0,0.0,22.22,22.22
ENSG00000132199,ENOSF1,6,6,0.5,-0.5,35.29,33.33,1.96
ENSG00000141279,NPEPPS,9,6,0.6,-0.4,52.94,33.33,19.61
ENSG00000112701,SENP6,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000116138,DNAJC16,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000125648,SLC25A23,11,10,0.52,-0.48,64.71,55.56,9.15
ENSG00000113761,ZNF346,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000125744,RTN2,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000132704,FCRL2,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000141384,TAF4B,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000119979,DENND10,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000106633,GCK,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000127616,SMARCA4,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000108984,MAP2K6,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000141401,IMPA2,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000127946,HIP1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000141456,PELP1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000120332,TNN,7,9,0.44,-0.56,41.18,50.0,8.82
ENSG00000127948,POR,12,13,0.48,-0.52,70.59,72.22,1.63
ENSG00000141519,CCDC40,14,16,0.47,-0.53,82.35,88.89,6.54
ENSG00000120440,TTLL2,9,13,0.41,-0.59,52.94,72.22,19.28
ENSG00000127952,STYXL1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000119285,HEATR1,9,9,0.5,-0.5,52.94,50.0,2.94
ENSG00000116833,NR5A2,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000133056,PIK3C2B,15,17,0.47,-0.53,88.24,94.44,6.21
ENSG00000141959,PFKL,5,7,0.42,-0.58,29.41,38.89,9.48
ENSG00000127957,PMS2P3,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000120549,KIAA1217,6,9,0.4,-0.6,35.29,50.0,14.71
ENSG00000141994,DUS3L,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000142025,DMRTC2,4,7,0.36,-0.64,23.53,38.89,15.36
ENSG00000128283,CDC42EP1,12,7,0.63,-0.37,70.59,38.89,31.7
ENSG00000120899,PTK2B,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000125398,SOX9,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000126562,WNK4,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000142539,name not found,17,16,0.52,-0.48,100.0,88.89,11.11
ENSG00000128829,EIF2AK4,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000133858,ZFC3H1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000142627,EPHA2,9,6,0.6,-0.4,52.94,33.33,19.61
ENSG00000121281,ADCY7,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000120498,TEX11,8,10,0.44,-0.56,47.06,55.56,8.5
ENSG00000121879,PIK3CA,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000108774,RAB5C,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000113645,WWC1,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000120645,IQSEC3,5,2,0.71,-0.29,29.41,11.11,18.3
ENSG00000142789,CELA3A,12,14,0.46,-0.54,70.59,77.78,7.19
ENSG00000121410,A1BG,5,6,0.45,-0.55,29.41,33.33,3.92
ENSG00000142798,HSPG2,6,7,0.46,-0.54,35.29,38.89,3.59
ENSG00000126247,CAPNS1,10,7,0.59,-0.41,58.82,38.89,19.93
ENSG00000127507,ADGRE2,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000134247,PTGFRN,16,18,0.47,-0.53,94.12,100.0,5.88
ENSG00000143195,ILDR2,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000143199,ADCY10,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000108175,ZMIZ1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000130164,LDLR,9,6,0.6,-0.4,52.94,33.33,19.61
ENSG00000111783,RFX4,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000122966,CIT,2,5,0.29,-0.71,11.76,27.78,16.01
ENSG00000121764,HCRTR1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000128159,TUBGCP6,6,7,0.46,-0.54,35.29,38.89,3.59
ENSG00000111897,SERINC1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000123104,ITPR2,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000130254,SAFB2,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000114204,SERPINI2,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000124721,DNAH8,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000128165,ADM2,4,9,0.31,-0.69,23.53,50.0,26.47
ENSG00000143379,SETDB1,11,11,0.5,-0.5,64.71,61.11,3.59
ENSG00000107864,CPEB3,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000130255,RPL36,3,7,0.3,-0.7,17.65,38.89,21.24
ENSG00000114251,WNT5A,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000143418,CERS2,11,11,0.5,-0.5,64.71,61.11,3.59
ENSG00000115760,BIRC6,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000114268,PFKFB4,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000125122,LRRC29,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000134569,LRP4,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000143429,LSP1P4,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000130311,DDA1,2,9,0.18,-0.82,11.76,50.0,38.24
ENSG00000128191,DGCR8,7,2,0.78,-0.22,41.18,11.11,30.07
ENSG00000134871,COL4A2,16,18,0.47,-0.53,94.12,100.0,5.88
ENSG00000143436,MRPL9,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000124126,PREX1,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000125445,MRPS7,6,6,0.5,-0.5,35.29,33.33,1.96
ENSG00000112232,KHDRBS2,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000134905,CARS2,5,3,0.62,-0.38,29.41,16.67,12.75
ENSG00000143450,OAZ3,9,3,0.75,-0.25,52.94,16.67,36.27
ENSG00000125447,GGA3,6,6,0.5,-0.5,35.29,33.33,1.96
ENSG00000135373,EHF,4,4,0.5,-0.5,23.53,22.22,1.31
